Log 10/07/2018 00:00:00
16:54	Ok	OnStart	Servicio inicializado.
17:34	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:34	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:35	Ok	ProcesarRelojes()	Procesando 1 relojes
17:35	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:35	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:35	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:35	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:36	Ok	ProcesarRelojes()	Procesando 1 relojes
17:36	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:36	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:36	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:36	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:37	Ok	ProcesarRelojes()	Procesando 1 relojes
17:37	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:37	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:37	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:37	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:38	Ok	ProcesarRelojes()	Procesando 1 relojes
17:38	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:38	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:38	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:38	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:39	Ok	ProcesarRelojes()	Procesando 1 relojes
17:39	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:39	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:39	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:39	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:40	Ok	ProcesarRelojes()	Procesando 1 relojes
17:40	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:40	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:40	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:40	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:41	Ok	ProcesarRelojes()	Procesando 1 relojes
17:41	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:41	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:41	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:41	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:42	Ok	ProcesarRelojes()	Procesando 1 relojes
17:42	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:42	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:42	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:42	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:43	Ok	ProcesarRelojes()	Procesando 1 relojes
17:43	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:43	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:43	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:43	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:44	Ok	ProcesarRelojes()	Procesando 1 relojes
17:44	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:44	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:44	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:44	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:45	Ok	ProcesarRelojes()	Procesando 1 relojes
17:45	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:45	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:45	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:45	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:46	Ok	ProcesarRelojes()	Procesando 1 relojes
17:46	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:46	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:46	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:46	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:47	Ok	ProcesarRelojes()	Procesando 1 relojes
17:47	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:47	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:47	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:47	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:48	Ok	ProcesarRelojes()	Procesando 1 relojes
17:48	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:48	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:48	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:48	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:49	Ok	ProcesarRelojes()	Procesando 1 relojes
17:49	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:49	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:49	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:49	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:50	Ok	ProcesarRelojes()	Procesando 1 relojes
17:50	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:50	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:50	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:50	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:51	Ok	ProcesarRelojes()	Procesando 1 relojes
17:51	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:51	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:51	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:51	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:52	Ok	ProcesarRelojes()	Procesando 1 relojes
17:52	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:52	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:52	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:52	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:53	Ok	ProcesarRelojes()	Procesando 1 relojes
17:53	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:53	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:53	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:53	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:54	Ok	ProcesarRelojes()	Procesando 1 relojes
17:54	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:54	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:54	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:54	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:55	Ok	ProcesarRelojes()	Procesando 1 relojes
17:55	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:55	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:55	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:55	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:56	Ok	ProcesarRelojes()	Procesando 1 relojes
17:56	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:56	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:56	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:56	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:57	Ok	ProcesarRelojes()	Procesando 1 relojes
17:57	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:57	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:57	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:57	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:58	Ok	ProcesarRelojes()	Procesando 1 relojes
17:58	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:58	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:58	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:58	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
17:59	Ok	ProcesarRelojes()	Procesando 1 relojes
17:59	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
17:59	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
17:59	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
17:59	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
18:00	Ok	ProcesarRelojes()	Procesando 1 relojes
18:00	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
18:00	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
18:00	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
18:00	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
18:01	Ok	ProcesarRelojes()	Procesando 1 relojes
18:01	Ok	clkZKSoft()	Conectandose 192.168.4.240:4370
18:01	Ok	clkZKSoft()	Conectado a 192.168.4.240:4370
18:01	Ok	clkZKSoft()	No hay fichadas en 192.168.4.240:4370
18:01	Ok	clkZKSoft()	Desconectar Reloj 192.168.4.240:4370
